城市,日期,销售额,利润
Lusaka,2019-03-31,182.1,-1.82
Lusaka,2019-06-30,1754.83,94.82
Lusaka,2019-09-30,0.0,0.0
Lusaka,2019-12-31,12.31,-0.37
Lusaka,2020-03-31,776.96,6.640000000000001
Lusaka,2020-06-30,0.0,0.0
Lusaka,2020-09-30,55.79,-2.23
Lusaka,2020-12-31,791.05,-47.46
Malabo,2017-03-31,1873.34,-33.870000000000005
Malabo,2017-06-30,0.0,0.0
Malabo,2017-09-30,1156.96,33.66
Malabo,2017-12-31,0.0,0.0
Malabo,2018-03-31,32.98,-2.64
Malabo,2018-06-30,301.1,9.03
Malabo,2018-09-30,1350.69,3.6799999999999997
Malabo,2018-12-31,0.0,0.0
Malabo,2019-03-31,207.77,6.23
Malabo,2019-06-30,497.89,9.96
Malabo,2019-09-30,649.16,32.46
Malabo,2019-12-31,800.51,32.02
Malabo,2020-03-31,691.53,17.36
Malabo,2020-06-30,481.01,-9.62
Malabo,2020-09-30,289.07,-20.23
Maputo,2017-03-31,479.57000000000005,41.94
Maputo,2017-06-30,986.39,-19.73
Maputo,2017-09-30,0.0,0.0
Maputo,2017-12-31,183.56,-7.34
Maputo,2018-03-31,717.16,-7.17
Maputo,2018-06-30,582.09,34.93
Maputo,2018-09-30,438.03,-4.38
Maputo,2018-12-31,393.33,35.4
Maputo,2019-03-31,549.94,38.5
Maputo,2019-06-30,1777.98,-59.67
Maputo,2019-09-30,0.0,0.0
Maputo,2019-12-31,937.98,0.0
Maputo,2020-03-31,1739.1399999999999,99.30000000000001
Maputo,2020-06-30,0.0,0.0
Maputo,2020-09-30,562.83,5.63
Maputo,2020-12-31,159.81,-11.19
Maseru,2017-03-31,153.27,4.6
Maseru,2017-06-30,484.25,33.9
Maseru,2017-09-30,1125.27,65.72
Maseru,2017-12-31,0.0,0.0
Maseru,2018-03-31,711.29,56.9
Maseru,2018-06-30,758.39,-58.22
Maseru,2018-09-30,401.94,-8.04
Maseru,2018-12-31,0.0,0.0
Maseru,2019-03-31,264.4,23.8
Maseru,2019-06-30,716.33,35.82
Maseru,2019-09-30,758.2600000000001,66.17999999999999
Maseru,2019-12-31,0.0,0.0
Maseru,2020-03-31,587.27,25.49
Maseru,2020-06-30,930.77,46.54
Maseru,2020-09-30,526.93,-26.35
Mbabane,2017-03-31,864.78,-69.18
Mbabane,2017-06-30,760.7,30.43
Mbabane,2017-09-30,1180.57,-11.37
Mbabane,2017-12-31,0.0,0.0
Mbabane,2018-03-31,1428.68,109.16
Mbabane,2018-06-30,989.02,89.01
Mbabane,2018-09-30,322.41,29.02
Mbabane,2018-12-31,0.0,0.0
Mbabane,2019-03-31,518.99,28.369999999999997
Mbabane,2019-06-30,0.0,0.0
Mbabane,2019-09-30,401.44,-24.09
Mbabane,2019-12-31,787.3,15.75
Mbabane,2020-03-31,1168.69,49.58
Mbabane,2020-06-30,196.19,-15.7
Mbabane,2020-09-30,0.0,0.0
Mbabane,2020-12-31,801.25,-40.06
Mbuji-Mayi,2017-03-31,1109.82,12.31
Mbuji-Mayi,2017-06-30,0.0,0.0
Mbuji-Mayi,2017-09-30,112.3,4.49
Mbuji-Mayi,2017-12-31,470.83,-14.12
Mbuji-Mayi,2018-03-31,112.21,-8.98
Mbuji-Mayi,2018-06-30,911.9799999999999,40.63999999999999
Mbuji-Mayi,2018-09-30,0.0,0.0
Mbuji-Mayi,2018-12-31,698.31,-13.97
Mbuji-Mayi,2019-03-31,897.4,89.74
Mbuji-Mayi,2019-06-30,322.89,6.46
Mbuji-Mayi,2019-09-30,475.2,-23.76
Mbuji-Mayi,2019-12-31,430.15,-30.11
Mbuji-Mayi,2020-03-31,785.97,-47.16
Mbuji-Mayi,2020-06-30,1938.02,-57.8
Mbuji-Mayi,2020-09-30,0.0,0.0
Mbuji-Mayi,2020-12-31,481.62,14.45
Mogadishu,2017-03-31,977.28,-9.77
Mogadishu,2017-06-30,673.55,-13.47
Mogadishu,2017-09-30,989.47,40.92
Mogadishu,2017-12-31,0.0,0.0
Mogadishu,2018-03-31,328.62,32.86
Mogadishu,2018-06-30,29.2,2.63
Mogadishu,2018-09-30,1463.06,83.47
Mogadishu,2018-12-31,0.0,0.0
Mogadishu,2019-03-31,985.13,59.11
Mogadishu,2019-06-30,680.68,-13.61
Mogadishu,2019-09-30,118.6,-3.56
Mogadishu,2019-12-31,443.2,22.16
Mogadishu,2020-03-31,1165.83,71.06
Mogadishu,2020-06-30,0.0,0.0
Mogadishu,2020-09-30,262.21,26.22
Mogadishu,2020-12-31,116.04,11.6
Monrovia,2017-03-31,1238.6,-74.64
Monrovia,2017-06-30,480.03,4.8
Monrovia,2017-09-30,78.12,-5.47
Monrovia,2017-12-31,0.0,0.0
Monrovia,2018-03-31,634.05,-50.72
Monrovia,2018-06-30,236.5,-18.92
Monrovia,2018-09-30,50.48,-4.04
Monrovia,2018-12-31,778.49,54.49
Monrovia,2019-03-31,750.82,-49.29
Monrovia,2019-06-30,515.28,-10.31
Monrovia,2019-09-30,0.0,0.0
Monrovia,2019-12-31,306.96,9.21
Monrovia,2020-03-31,1190.47,24.25
Monrovia,2020-06-30,0.0,0.0
Monrovia,2020-09-30,239.28,-4.79
Monrovia,2020-12-31,133.26,-8.0
N'Djamena,2017-03-31,443.13,4.43
N'Djamena,2017-06-30,35.55,3.2
N'Djamena,2017-09-30,85.19,-2.56
N'Djamena,2017-12-31,704.01,28.16
N'Djamena,2018-03-31,876.8900000000001,4.17
N'Djamena,2018-06-30,432.43,30.27
N'Djamena,2018-09-30,0.0,0.0
N'Djamena,2018-12-31,895.52,17.91
N'Djamena,2019-03-31,270.01,-10.8
N'Djamena,2019-06-30,472.81,42.55
N'Djamena,2019-09-30,0.0,0.0
N'Djamena,2019-12-31,163.34,-11.43
N'Djamena,2020-03-31,456.72,18.27
N'Djamena,2020-06-30,400.93,36.08
N'Djamena,2020-09-30,45.39,3.15
Nairobi,2017-03-31,992.58,49.63
Nairobi,2017-06-30,975.9200000000001,-69.56
Nairobi,2017-09-30,0.0,0.0
Nairobi,2017-12-31,341.57,-10.25
Nairobi,2018-03-31,425.64,-24.849999999999998
Nairobi,2018-06-30,0.0,0.0
Nairobi,2018-09-30,768.89,-23.07
Nairobi,2018-12-31,606.12,24.24
Nairobi,2019-03-31,344.77,-13.79
Nairobi,2019-06-30,1188.3899999999999,42.65
Nairobi,2019-09-30,759.18,-15.18
Nairobi,2019-12-31,0.0,0.0
Nairobi,2020-03-31,914.44,12.799999999999999
Nairobi,2020-06-30,613.64,-30.68
Nairobi,2020-09-30,0.0,0.0
Nairobi,2020-12-31,737.57,36.88
Niamey,2017-03-31,3.3,-0.03
Niamey,2017-06-30,59.99,-4.8
Niamey,2017-09-30,993.01,-30.17
Niamey,2017-12-31,0.0,0.0
Niamey,2018-03-31,966.64,-19.33
Niamey,2018-06-30,512.06,46.09
Niamey,2018-09-30,471.58,-23.58
Niamey,2018-12-31,958.9,-38.36
Niamey,2019-03-31,1409.94,-44.510000000000005
Niamey,2019-06-30,389.73,-15.59
Niamey,2019-09-30,346.72,-17.34
Niamey,2019-12-31,0.0,0.0
Niamey,2020-03-31,1713.49,-6.77
Niamey,2020-06-30,945.62,0.0
Niamey,2020-09-30,812.17,-64.97
Nouakchott,2017-03-31,211.03,12.66
Nouakchott,2017-06-30,838.86,58.72
Nouakchott,2017-09-30,573.76,-34.43
Nouakchott,2017-12-31,0.0,0.0
Nouakchott,2018-03-31,1022.63,17.88
Nouakchott,2018-06-30,0.0,0.0
Nouakchott,2018-09-30,1088.88,52.78
Nouakchott,2018-12-31,0.0,0.0
Nouakchott,2019-03-31,939.8100000000001,-9.129999999999999
Nouakchott,2019-06-30,356.89,-17.84
Nouakchott,2019-09-30,0.0,0.0
Nouakchott,2019-12-31,784.94,78.49
Nouakchott,2020-03-31,949.73,37.99
Nouakchott,2020-06-30,1434.54,119.94
Nouakchott,2020-09-30,871.54,-17.43
Ouagadougou,2017-03-31,1101.3600000000001,30.66
Ouagadougou,2017-06-30,0.0,0.0
Ouagadougou,2017-09-30,745.22,-29.81
Ouagadougou,2017-12-31,488.98,-29.34
Ouagadougou,2018-03-31,1914.35,-48.209999999999994
Ouagadougou,2018-06-30,994.43,9.94
Ouagadougou,2018-09-30,0.0,0.0
Ouagadougou,2018-12-31,608.71,60.87
Ouagadougou,2019-03-31,1370.0700000000002,34.28
Ouagadougou,2019-06-30,0.0,0.0
Ouagadougou,2019-09-30,977.29,-58.64
Ouagadougou,2019-12-31,5.47,0.55
Ouagadougou,2020-03-31,1173.28,-63.3
Ouagadougou,2020-06-30,0.0,0.0
Ouagadougou,2020-09-30,642.1999999999999,-18.0
Port Louis,2017-03-31,1385.19,-62.76
Port Louis,2017-06-30,0.0,0.0
Port Louis,2017-09-30,512.94,25.65
Port Louis,2017-12-31,223.29,11.16
Port Louis,2018-03-31,352.89,31.76
Port Louis,2018-06-30,442.97,44.3
Port Louis,2018-09-30,355.21000000000004,-4.660000000000001
Port Louis,2018-12-31,0.0,0.0
Port Louis,2019-03-31,444.48,13.33
Port Louis,2019-06-30,413.26000000000005,-21.470000000000002
Port Louis,2019-09-30,0.0,0.0
Port Louis,2019-12-31,15.99,-0.8
Port Louis,2020-03-31,1010.5600000000001,73.29
Port Louis,2020-06-30,0.0,0.0
Port Louis,2020-09-30,361.28,3.61
Port Louis,2020-12-31,148.56,10.4
Porto-Novo,2017-03-31,384.51,34.61
Porto-Novo,2017-06-30,1976.63,39.690000000000005
Porto-Novo,2017-09-30,0.0,0.0
Porto-Novo,2017-12-31,243.26,-9.73
Porto-Novo,2018-03-31,343.36,27.47
Porto-Novo,2018-06-30,1044.5700000000002,-46.66
Porto-Novo,2018-09-30,152.03,9.12
Porto-Novo,2018-12-31,0.0,0.0
Porto-Novo,2019-03-31,285.96,8.58
Porto-Novo,2019-06-30,21.32,0.64
Porto-Novo,2019-09-30,501.03,20.04
Porto-Novo,2019-12-31,517.7,0.0
Porto-Novo,2020-03-31,186.23,14.9
Porto-Novo,2020-06-30,1848.47,-93.07
Porto-Novo,2020-09-30,0.0,0.0
Porto-Novo,2020-12-31,830.33,-8.3
Pretoria,2017-03-31,818.99,8.19
Pretoria,2017-06-30,794.91,39.62
Pretoria,2017-09-30,544.34,54.43
Pretoria,2017-12-31,0.0,0.0
Pretoria,2018-03-31,1188.23,111.41
Pretoria,2018-06-30,439.53,30.77
Pretoria,2018-09-30,0.0,0.0
Pretoria,2018-12-31,695.93,20.88
Pretoria,2019-03-31,1597.99,-10.64
Pretoria,2019-06-30,771.25,-15.43
Pretoria,2019-09-30,503.52,-20.14
Pretoria,2019-12-31,0.0,0.0
Pretoria,2020-03-31,504.61,10.09
Pretoria,2020-06-30,193.96,-7.76
Pretoria,2020-09-30,826.64,82.66
Pretoria,2020-12-31,421.23,4.21
Rabat,2017-03-31,832.54,58.28
Rabat,2017-06-30,703.93,-35.2
Rabat,2017-09-30,241.48,-4.83
Rabat,2017-12-31,855.42,51.33
Rabat,2018-03-31,301.61,30.16
Rabat,2018-06-30,181.59,9.239999999999998
Rabat,2018-09-30,0.0,0.0
Rabat,2018-12-31,43.55,2.61
Rabat,2019-03-31,101.49,8.12
Rabat,2019-06-30,1126.85,28.31
Rabat,2019-09-30,150.54,-12.04
Rabat,2019-12-31,0.0,0.0
Rabat,2020-03-31,898.19,-44.91
Rabat,2020-06-30,355.17,-14.819999999999999
Rabat,2020-09-30,0.0,0.0
Rabat,2020-12-31,184.49,-7.38
Sao Tome,2017-03-31,1148.74,68.93
Sao Tome,2017-06-30,0.0,0.0
Sao Tome,2017-09-30,696.9000000000001,-2.74
Sao Tome,2017-12-31,0.0,0.0
Sao Tome,2018-03-31,386.89,-19.34
Sao Tome,2018-06-30,460.72,19.66
Sao Tome,2018-09-30,0.0,0.0
Sao Tome,2018-12-31,973.62,0.0
Sao Tome,2019-03-31,246.07,-7.38
Sao Tome,2019-06-30,888.09,-62.17
Sao Tome,2019-09-30,1880.85,-14.880000000000003
Sao Tome,2019-12-31,0.0,0.0
Sao Tome,2020-03-31,1140.77,17.42
Sao Tome,2020-06-30,681.82,27.27
Sao Tome,2020-09-30,0.0,0.0
Sao Tome,2020-12-31,120.74,3.62
Tripoli,2017-03-31,901.98,29.560000000000002
Tripoli,2017-06-30,587.33,-5.87
Tripoli,2017-09-30,0.0,0.0
Tripoli,2017-12-31,823.82,16.48
Tripoli,2018-03-31,740.66,74.07
Tripoli,2018-06-30,980.8700000000001,25.529999999999998
Tripoli,2018-09-30,183.31,12.83
Tripoli,2018-12-31,0.0,0.0
Tripoli,2019-03-31,631.19,-23.96
Tripoli,2019-06-30,0.0,0.0
Tripoli,2019-09-30,1242.01,49.68000000000001
Tripoli,2019-12-31,0.0,0.0
Tripoli,2020-03-31,112.07,3.36
Tripoli,2020-06-30,171.11,6.84
Tripoli,2020-09-30,344.48,10.33
Tripoli,2020-12-31,106.59,-6.4
Tunis,2017-03-31,60.05,-0.6
Tunis,2017-06-30,1647.88,-2.5799999999999983
Tunis,2017-09-30,701.35,56.11
Tunis,2017-12-31,0.0,0.0
Tunis,2018-03-31,827.4300000000001,74.47
Tunis,2018-06-30,0.0,0.0
Tunis,2018-09-30,628.53,37.71
Tunis,2018-12-31,253.34,10.13
Tunis,2019-03-31,295.13,26.619999999999997
Tunis,2019-06-30,0.0,0.0
Tunis,2019-09-30,511.56,-15.35
Tunis,2019-12-31,728.79,72.88
Tunis,2020-03-31,185.9,14.87
Tunis,2020-06-30,1003.38,-12.25
Tunis,2020-09-30,0.0,0.0
Tunis,2020-12-31,665.22,33.26
Victoria,2017-03-31,90.78,-4.54
Victoria,2017-06-30,40.12,-1.6
Victoria,2017-09-30,1493.29,-23.07
Victoria,2017-12-31,0.0,0.0
Victoria,2018-03-31,820.6,4.89
Victoria,2018-06-30,0.0,0.0
Victoria,2018-09-30,542.4,-35.12
Victoria,2018-12-31,0.0,0.0
Victoria,2019-03-31,1474.69,-97.55
Victoria,2019-06-30,0.0,0.0
Victoria,2019-09-30,491.94000000000005,-18.84
Victoria,2019-12-31,0.0,0.0
Victoria,2020-03-31,460.12,-13.8
Victoria,2020-06-30,133.74,12.04
Victoria,2020-09-30,334.36,33.44
Victoria,2020-12-31,20.98,0.21
Windhoek,2017-03-31,668.32,36.9
Windhoek,2017-06-30,0.0,0.0
Windhoek,2017-09-30,1612.99,-44.730000000000004
Windhoek,2017-12-31,0.0,0.0
Windhoek,2018-03-31,84.09,-2.52
Windhoek,2018-06-30,789.26,-27.339999999999996
Windhoek,2018-09-30,234.66,0.0
Windhoek,2018-12-31,0.0,0.0
Windhoek,2019-03-31,927.03,46.35
Windhoek,2019-06-30,1849.54,-39.55
Windhoek,2019-09-30,88.06,7.93
Windhoek,2019-12-31,0.0,0.0
Windhoek,2020-03-31,174.17,3.48
Windhoek,2020-06-30,978.37,39.13
Windhoek,2020-09-30,547.71,-38.34
Windhoek,2020-12-31,951.26,95.13
Yamoussoukro,2017-03-31,699.95,-6.899999999999999
Yamoussoukro,2017-06-30,0.0,0.0
Yamoussoukro,2017-09-30,1030.43,-58.4
Yamoussoukro,2017-12-31,0.0,0.0
Yamoussoukro,2018-03-31,894.21,-71.54
Yamoussoukro,2018-06-30,362.31,25.36
Yamoussoukro,2018-09-30,701.13,63.1
Yamoussoukro,2018-12-31,294.18,-23.53
Yamoussoukro,2019-03-31,1697.44,-118.82
Yamoussoukro,2019-06-30,0.0,0.0
Yamoussoukro,2019-09-30,743.91,74.39
Yamoussoukro,2019-12-31,749.12,-7.49
Yamoussoukro,2020-03-31,598.04,18.740000000000002
Yamoussoukro,2020-06-30,0.0,0.0
Yamoussoukro,2020-09-30,1452.25,-65.83
Yaoundé,2017-03-31,814.1999999999999,25.970000000000002
Yaoundé,2017-06-30,865.75,-51.95
Yaoundé,2017-09-30,0.0,0.0
Yaoundé,2017-12-31,466.81,-23.34
Yaoundé,2018-03-31,692.0699999999999,-13.84
Yaoundé,2018-06-30,0.0,0.0
Yaoundé,2018-09-30,32.15,2.57
Yaoundé,2018-12-31,549.16,27.46
Yaoundé,2019-03-31,984.72,78.78
Yaoundé,2019-06-30,735.16,-22.05
Yaoundé,2019-09-30,1426.8600000000001,15.030000000000001
Yaoundé,2019-12-31,0.0,0.0
Yaoundé,2020-03-31,870.74,-23.18
Yaoundé,2020-06-30,0.0,0.0
Yaoundé,2020-09-30,537.87,26.89
Yaoundé,2020-12-31,403.75,-12.11
